label_id,label
0,radars
1,aircraft
2,bowen
3,ranging
4,new
5,unit
6,dowding
7,intercepting
8,fighters
9,receive
10,air
11,signals
12,sets
13,transmitters
14,operation
15,raf
16,developing
17,targets
18,products
19,dipole antenna
20,testing
21,began
22,teams
23,continuous
24,problems
25,luftwaffe night
26,displayed
27,worked
28,useful
29,long
30,directly
31,later
32,tube
33,early
34,detecting
35,researchers
36,directional
37,systems
38,followed
39,blips
40,included
41,engineer
42,single
43,small
44,location
45,ground
46,bomber
47,watts
48,germans
49,largely
50,powerful
51,increase
52,rowe
53,original
54,allowing
55,blenheims
56,types
57,hms
58,asv
59,improvements
60,equipped
61,known
62,pulse
63,demonstrate
64,towers
65,like
66,left
67,low
68,short
69,eventually
70,successes
71,considerably
72,timed
73,caused
74,lovell
75,group
76,controls
77,effort
78,commanding
79,prove
80,relative
81,indicators
82,frequencies
83,provide
84,approaches
85,tizard
86,normal
87,brown
88,vertically
89,emi
90,stationed
91,designed
92,pilots
93,lewis
94,reduce
95,raid
96,distances
97,committee
98,immediate
99,called
100,completed
101,considering
102,prototypes
103,entirely
104,suitably
105,lining
106,concept
107,serrate
108,arrive
109,start
110,suggestions
111,basing
112,coast
113,best
114,addition
115,shorter
116,right
117,requiring
118,forward
119,dropping
120,effects
121,band
122,arthur
123,installations
124,homes
125,generating
126,british
127,attacking
128,look
129,mains
130,ended
131,came
132,area
133,establishment
134,mhz
135,fit
136,supplies
137,centring
138,turning
139,practice
140,versions
141,took
142,example
143,role
144,sensitive
145,philip
146,final
147,resulting
148,moving
149,bombs
150,formed
151,motorized
152,noses
153,experimentally
154,seconds
155,south
156,switching
157,ais
158,force
159,angled
160,away better
161,vhf radios
162,longer
163,soon
164,officer
165,minimum
166,delay
167,failed
168,transmission
169,rdf
170,ministry
171,iii
172,quickly
173,electric
174,hanbury
175,needs
176,spot
177,reflecting
178,limitation
179,overseas
180,attention
181,strategic
182,cook
183,calf
184,talks
185,thirty
186,reporting
187,increasingly
188,metrovick
189,feet
190,television
191,battles
192,differed
193,initial
194,aerial
195,mosquito
196,numbers
197,late
198,killed
199,appleton
200,changed
201,heyfords
202,august
203,little
204,easily
205,leads
206,observing
207,guns
208,high
209,pye
210,timebase
211,upper
212,pulled
213,arrangement
214,slightly
215,loss
216,widely
217,company
218,scotland
219,altitudes
220,bawdsey
221,dundee
222,defence
223,cell
224,fully
225,ignition
226,coil
227,braun von
228,bicycle frame
229,minor
230,lower
231,breaking
232,offer
233,april
234,handed
235,pre
236,martlesham
237,acorn
238,built
239,circuit
240,broadcasting
241,producing
242,waves
243,sized
244,train
245,wings
246,connections
247,tedder
248,transponders
249,speed
250,existing
251,rooms
252,filtering
253,mechanically
254,resonating
255,frequency
256,designers
257,isbn
258,transducer
259,component
260,element
261,radio
262,material
263,issue
264,bands
265,norton
266,vibrational mode
267,analogies
268,wires
269,couple
270,temperature
271,impedance
272,usual
273,piezoelectricity
274,method
275,figure
276,acoustical
277,responsible
278,applications
279,flexural
280,sound
281,electronics
282,vol
283,capacitor
284,longitudinally
285,trim
286,press
287,wave
288,currently
289,harrison
290,large
291,electromechanical
292,york
293,filing
294,leading
295,networks
296,nickel
297,selectivity
298,discs
299,lumped
300,theories
301,receiver
302,matching
303,johnson
304,corresponds
305,boston
306,audio
307,oclc
308,respectively
309,adjusting
310,better
311,inductor
312,magnetostrictive
313,consequently
314,placed
315,ends
316,crc
317,titanate
318,operate
319,tuning
320,description
321,santos
322,changes
323,saving
324,torsional
325,silicon
326,represents
327,include
328,london
329,crystals
330,alloy
331,bell
332,taylor
333,processes
334,terminated
335,particular
336,typical
337,counterparts
338,ieee
339,analysis
340,iron
341,reed
342,flat
343,involve
344,models
345,physics
346,adjacent
347,product
348,device
349,october
350,consists
351,stage
352,outputs
353,microwave
354,masking
355,industry
356,oxford
357,equivalents
358,function
359,generally
360,passband
361,robert
362,applying
363,telephone
364,loudspeaker
365,covering
366,mems
367,stopbands
368,laser
369,john
370,resistive
371,magnets
372,value
373,precision
374,reference
375,francisco
376,san
377,cities
378,population
379,news
380,americans
381,california
382,parking
383,stated
384,districts
385,areas
386,bay
387,arts
388,publicity
389,highs
390,school
391,year
392,largest
393,streets
394,services
395,beach neighborhood
396,nation
397,majority
398,pacific
399,counties
400,earthquakes
401,locations
402,hill
403,building
404,historically
405,valleys
406,dailies
407,locals
408,housed
409,technologically
410,resident
411,interned
412,annually
413,ethnic
414,islands
415,highest
416,establishments
417,temperatures
418,officials
419,community
420,program
421,museums
422,homelessness
423,centers
424,activities
425,chinese
426,gangs
427,immigrated
428,ranks
429,institution
430,offered universal
431,tourists
432,educated
433,attraction
434,privately
435,businesses
436,hotel
437,financial
438,world
439,water
440,research
441,recordings
442,culturally
443,followings
444,running
445,mission
446,stations
447,west
448,people
449,led
450,class
451,banks
452,featuring
453,industries
454,north
455,day
456,buena began
457,americas
458,urban economy
459,rates
460,significant
461,professional
462,medical
463,spanish
464,broadcaster
465,line
466,summers
467,remained
468,points
469,marketing
470,freeway
471,square
472,solar
473,science
474,damage
475,land
476,gold
477,pier
478,oakland
479,laws
480,averages
481,today
482,completing
483,bus
484,near
485,military built
486,hosted
487,officers
488,popularity
489,general
490,rapid
491,oldest
492,retail
493,created
494,gate
495,levels
496,theaters
497,uses
498,growth
499,based
500,league
501,colleges
502,william
503,sports
504,african
505,climate
506,governments
507,gay rights
508,music
509,young
510,regional
511,non whites
512,works
513,million
514,conditions
515,limit
516,project
517,second
518,downtown
519,founding
520,vehicle
521,born
522,golden
523,life
524,starting
525,planning
526,mayoral
527,engineering
528,employs
529,family
530,transport
531,higher
532,important
533,increased
534,lake
535,degrees
536,job
537,sunset
538,alcatraz
539,fort
540,member
541,employer
542,height
543,grants
544,rising
545,history
546,review
547,ferry
548,workers
549,manufacturing
550,party
551,mild
552,extensive
553,management
554,arrival
555,continuously
556,tech
557,restaurant
558,household
559,groupings
560,sector
561,warrior
562,football
563,friendly
564,makes
565,infrastructure
566,federal
567,modern
568,concentration
569,chinatown
570,places
571,natural
572,claims
573,nearly
574,performance
575,demographics
576,media
577,ships
578,boating
579,european
580,club
581,liberally
582,franklin
583,asbury
584,republican
585,benicia
586,amadeo
587,bierce
588,southeast
589,willie
590,feinstein
591,tax
592,gained
593,police
594,causes
595,acting
596,treasure seekers
597,estimated
598,additional
599,visually
600,war
601,tower
602,ucsf
603,health
604,charter
605,boom
606,asian
607,meaning
608,hispanics
609,counts
610,field
611,old
612,hetchy
613,according
614,open
615,recreation
616,monthly
617,won
618,murder
619,metropolitan
620,consulates
621,yerba
622,supervisor
623,periods
624,units
625,peaking
626,central
627,google
628,civic
629,capital
630,crimes
631,mexican
632,jose
633,opposite
634,cables
635,western
636,holdings
637,playing
638,terminates
639,traffic
640,awards
641,airports
642,motion
643,sfo
644,famous
645,studies
646,opera
647,contemporary
648,nearby
649,commute
650,avenues
651,bowl
652,accumulations
653,quadrant
654,mile
655,bikes
656,lived
657,primarily
658,helpful
659,newspaper
660,francis
661,income
662,named
663,list
664,total
665,thefts
666,lesbian
667,native
668,survey
669,current
670,shooting
671,entrepreneurs
672,convention
673,board
674,cool
675,venue
676,direct
677,recently
678,branch
679,embarcadero
680,connection
681,foreign
682,accessible
683,arterial
684,symphony
685,song
686,dynasties
687,shen
688,ship
689,gunpowder
690,mechanism
691,written
692,printed
693,wheeled
694,military
695,boat
696,likely
697,state
698,archaeological
699,vessels
700,contained
701,winds
702,ibn
703,great
704,power chain
705,governance
706,waters
707,employed
708,era
709,bearing
710,sail
711,private
712,scholars
713,huo
714,bellows
715,paper
716,centuries
717,maritime
718,technologies
719,river
720,astronomical
721,bulkheads
722,court
723,book
724,windmills
725,official
726,temple near
727,horizontal
728,help
729,industrial
730,dating
731,reign
732,shi
733,devices
734,poles
735,wrote
736,zhu
737,ancient
738,metal
739,tan
740,treatise
741,casting
742,recorded
743,tang
744,climates naturally
745,china
746,polymath
747,lands
748,weapon
749,steel
750,carries
751,sea
752,compass
753,metallurgy
754,canals
755,emperor
756,presented
757,movable
758,hanging
759,money
760,hull
761,refers
762,texts
763,period
764,paddle
765,bamboos
766,process
767,complex
768,hollow
769,trebuchets
770,revolve
771,tax grain
772,jin
773,earlier
774,odometers
775,arrow
776,provinces
777,kiosque
778,fei
779,wooden
780,buddhist
781,southern
782,ultimately
783,transportation
784,imperial
785,travelers
786,times
787,fired
788,cargo
789,naval
790,old method
791,inventions
792,descriptions
793,clocks
794,locked
795,end
796,lit
797,earliest
798,rotated
799,finally
800,merchants
801,driven
802,mountain
803,carriage
804,northern
805,depicted
806,explosive
807,collected
808,highly
809,sailors
810,magnetization
811,lower storey
812,shifted
813,hidden
814,music measures
815,cannon
816,machines
817,effective assaults
818,shu
819,blast
820,observance
821,ironwork
822,enemy
823,proto
824,erosion
825,confucian
826,neighbors
827,set
828,musa
829,presumably
830,abu
831,chengdu
832,bow
833,wuyue
834,yundao
835,egypt
836,tubes
837,rockets
838,commissioner
839,mongols
840,advanced
841,partial
842,linking
843,men
844,zongyao
845,miles
846,reel
847,sheng
848,endless
849,generate
850,historian
851,jurchens
852,ordered
853,east
854,create
855,zhi
856,petrol
857,slaves
858,produced
859,bce
860,trade
861,mutually
862,teeth
863,garden
864,bordered
865,heated
866,herbs
867,yelu
868,actually
869,irrigated
870,nautics
871,possible
872,sounds
873,basin
874,guangzhou
875,existed
876,pumps
877,lug
878,confirming
879,star
880,qiao
881,army
882,achieving
883,astronomy
884,successful
885,compartment
886,textiles
887,gates
888,hebei
889,clouds
890,given
891,bronze
892,processed
893,oil
894,heats
895,shales
896,technology
897,retorted
898,gas
899,extracts
900,hydrogen
901,national energy
902,electrical
