,label,tfidf,pmi,country,h_cat,alg,kmeans_augmented
0,food politics,0.01918128001940493,0.07706224011288978,0,1,kmeans_augmented,1
1,nutrition,0.01884807877404647,0.07407089388870705,0,1,kmeans_augmented,1
2,health,0.01768628256283448,0.07365947683228613,0,1,kmeans_augmented,1
3,food additives,0.01693739713738491,0.07450862172731548,0,1,kmeans_augmented,1
4,food and drink,0.016908635085539362,0.04350074113975136,0,1,kmeans_augmented,1
5,branches of biology,0.01614358228369917,0.07416583628634264,0,1,kmeans_augmented,1
6,food science,0.015383717383560645,0.06147901410465216,0,1,kmeans_augmented,1
7,chemical substances by use,0.015166416066972757,0.06931667712761429,0,1,kmeans_augmented,1
8,organic compounds,0.014345857663629351,0.07147035303055073,0,1,kmeans_augmented,1
9,determinants of health,0.01419778943672208,0.0669832509328566,0,1,kmeans_augmented,1
10,cuisine,0.01856050509836678,0.04373120367997796,1,1,kmeans_augmented,1
11,cuisine by country,0.01847822534895653,0.042417164817178006,1,1,kmeans_augmented,1
12,food and drink by country,0.016612040984488062,0.03976290802330852,1,1,kmeans_augmented,1
13,culture by country,0.016576323421510643,0.03923938843932685,1,1,kmeans_augmented,1
14,cuisine by region,0.01611750113049635,0.040068104384135175,1,1,kmeans_augmented,1
15,cuisine by continent,0.015714761574180898,0.040416676154462976,1,1,kmeans_augmented,1
16,prepared foods by main ingredient,0.015288216719368978,0.041524546106073985,1,1,kmeans_augmented,1
17,european cuisine by country,0.014741402117337588,0.03801261350375834,1,1,kmeans_augmented,1
18,asian cuisine,0.01375496827773642,0.03556323698282838,1,1,kmeans_augmented,1
19,foods,0.013751870762509524,0.03179641201221679,1,1,kmeans_augmented,1
20,births by decade,0.011184037806178425,0.04858006611585158,2,1,kmeans_augmented,1
21,years,0.01083062138985565,0.04400054279504647,2,1,kmeans_augmented,1
22,20th-century births,0.01067767116588727,0.05032330535702899,2,1,kmeans_augmented,1
23,people,0.009413457686809084,0.04781708804980328,2,1,kmeans_augmented,1
24,survivors,0.009352094075075494,0.04811564629187248,2,1,kmeans_augmented,1
25,living people,0.009352094075075494,0.04811564629187248,2,1,kmeans_augmented,1
26,people by status,0.009352094075075494,0.04811564629187248,2,1,kmeans_augmented,1
27,victims,0.009352094075075494,0.04811564629187248,2,1,kmeans_augmented,1
28,life,0.009221204019582442,0.04588117355385983,2,1,kmeans_augmented,1
29,nature,0.009062157945007554,0.04518176542041684,2,1,kmeans_augmented,1
