,article_name,country,treatment
0,Geo TV,0,kmeans_plain
1,Newspaper,0,kmeans_plain
2,All India Radio,0,kmeans_plain
3,Media of India,0,kmeans_plain
4,The Times of India,0,kmeans_plain
5,ABP Group,0,kmeans_plain
6,Anandabazar Patrika,0,kmeans_plain
7,D B Corp Ltd.,0,kmeans_plain
8,Dainik Bhaskar,0,kmeans_plain
9,Dainik Jagran,0,kmeans_plain
10,Ei Samay Sangbadpatra,0,kmeans_plain
11,Eros Now,0,kmeans_plain
12,HT Media,0,kmeans_plain
13,Hindustan (newspaper),0,kmeans_plain
14,Hindustan Times,0,kmeans_plain
15,History of newspaper publishing,0,kmeans_plain
16,Jalsha Movies,0,kmeans_plain
17,Maharashtra Times,0,kmeans_plain
18,NDTV,0,kmeans_plain
19,Navbharat Times,0,kmeans_plain
20,Pandit,0,kmeans_plain
21,Prothom Alo,0,kmeans_plain
22,Punjab Kesari,0,kmeans_plain
23,Radia tapes controversy,0,kmeans_plain
24,Rajasthan Patrika,0,kmeans_plain
25,Sahara India Pariwar,0,kmeans_plain
26,Star Jalsha,0,kmeans_plain
27,Subhash Chandra,0,kmeans_plain
28,Sun TV Network,0,kmeans_plain
29,TEN Cricket,0,kmeans_plain
30,The Hindu,0,kmeans_plain
31,The Times Group,0,kmeans_plain
32,Zee Entertainment Enterprises,0,kmeans_plain
33,ABP Ananda,0,kmeans_plain
34,ABP News,0,kmeans_plain
35,Aaj Tak,0,kmeans_plain
36,Bartaman,0,kmeans_plain
37,CNBC Awaaz,0,kmeans_plain
38,Gujarat Samachar,0,kmeans_plain
39,India News,0,kmeans_plain
40,India TV,0,kmeans_plain
41,India Today (TV channel),0,kmeans_plain
42,Mahaka Media,0,kmeans_plain
43,Mazhavil Manorama,0,kmeans_plain
44,NDTV India,0,kmeans_plain
45,News Nation,0,kmeans_plain
46,Pakistan Electronic Media Regulatory Authority,0,kmeans_plain
47,Pakistan Remote Sensing Satellite,0,kmeans_plain
48,Sony Aath,0,kmeans_plain
49,Times Now,0,kmeans_plain
50,Zee Bangla,0,kmeans_plain
51,Zee Business,0,kmeans_plain
52,Zee TV,0,kmeans_plain
53,Newspaper circulation,0,kmeans_plain
54,MediaCityUK,1,kmeans_plain
55,ABS-CBN,1,kmeans_plain
56,Al Jazeera,1,kmeans_plain
57,Al Jazeera English,1,kmeans_plain
58,Daily Mirror,1,kmeans_plain
59,Euronews,1,kmeans_plain
60,Rupert Murdoch,1,kmeans_plain
61,Sky News,1,kmeans_plain
62,TNT (Russian TV channel),1,kmeans_plain
63,Virgin Media,1,kmeans_plain
64,Virgin TV,1,kmeans_plain
65,ABS-CBN News Channel,1,kmeans_plain
66,Agence France-Presse,1,kmeans_plain
67,Al Arabiya,1,kmeans_plain
68,Al Mayadeen,1,kmeans_plain
69,Alexander Lebedev,1,kmeans_plain
70,Asia-Pacific Broadcasting Union,1,kmeans_plain
71,BBC,1,kmeans_plain
72,BBC Cymru Wales,1,kmeans_plain
